"","evt","dataobs","cover","us_loading..Mg.ha","ms_loading..Mg.ha","os_loading..Mg.ha","tree_crown_loading..Mg.ha","tree_loading..Mg.ha","snag_loading..Mg.ha","shrub_loading..Mg.ha","herb_percentlive.","herb_loading..Mg.ha","X1hr_loading..Mg.ha","X10hr_loading..Mg.ha","X100hr_loading..Mg.ha","fwd_loading..Mg.ha","X1KhrS_loading..Mg.ha","X1KhrR_loading..Mg.ha","X1Khr_loading..Mg.ha","X10KhrS_loading..Mg.ha","X10KhrR_loading..Mg.ha","X10Khr_loading..Mg.ha","GT10KhrS_loading..Mg.ha","GT10KhrR_loading..Mg.ha","cwd_sound_loading..Mg.ha","cwd_rotten_loading..Mg.ha","cwd_loading..Mg.ha","moss_loading..Mg.ha","lichen_loading..Mg.ha","litter_depth..cm","litter_loading..Mg.ha","duff_depth..cm","duff_loading..Mg.ha","NA","coverProp"
"68",670,29,7183427,0,0,0,0,28,28,28,1,29,28,28,28,1,1,1,0,1,1,0,1,1,1,1,28,0,0,1,28,1,28,0.000800047415767784,0.000800047415767784
"69",654,0,1699877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189322199692861,0.000189322199692861
"70",687,32,4790770,0,0,0,0,15,15,16,0,24,18,18,18,0,0,0,1,0,0,0,0,0,0,0,15,0,0,8,23,4,14,0.000533567496132114,0.000533567496132114
"71",666,1548,115287300,0,0,0,0,1517,1517,1548,0,1548,1525,1525,1525,0,0,0,0,0,0,0,0,0,0,0,1546,0,0,0,1512,0,1512,0.0128400144437808,0.0128400144437808
"72",683,70,33403527,0,0,0,0,68,68,70,0,70,69,69,69,0,0,0,1,0,0,0,0,0,0,0,68,0,0,1,62,1,61,0.00372028635550683,0.00372028635550683
"73",694,236,94925853,0,0,0,0,227,227,232,0,233,232,232,232,0,0,0,1,0,0,0,0,0,0,0,231,0,0,1,207,1,202,0.0105722774634172,0.0105722774634172
"74",675,51,21394906,0,0,0,0,0,0,0,0,50,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0.00238283750303228,0.00238283750303228
"75",663,203,14673162,0,0,0,0,184,184,184,0,184,188,188,188,0,12,12,0,0,0,0,0,0,0,0,180,0,0,14,198,14,186,0.00163420959651181,0.00163420959651181
"76",711,0,64144514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00714403482646659,0.00714403482646659
"77",664,40,92972248,0,0,0,2,20,20,22,0,20,24,24,24,16,0,0,2,0,0,0,0,0,4,4,20,0,0,0,38,0,36,0.0103546965467209,0.0103546965467209
"78",651,0,69567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74795909706014e-06,7.74795909706014e-06
"79",11,0,482585401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537474944698832,0.0537474944698832
"80",12,2,1929687,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0.00021491707197563,0.00021491707197563
"81",31,110,103842805,0,0,0,0,0,0,96,11,109,13,13,13,12,0,0,0,0,0,0,0,0,13,13,98,0,0,87,87,87,87,0.0115653945931834,0.0115653945931834
