EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2079,Sh Great Basin Xeric Mixed Sagebrush Shrubland,308,Low sagebrush shrubland,,2079,Sh Great Basin Xeric Mixed Sagebrush Shrubland,Shrub,623,Low Sagebrush Shrubland and Steppe,Shrubland
2080,Sh Inter-Mountain Basins Big Sagebrush Shrubland,55,Western juniper/sagebrush savanna,,2080,Sh Inter-Mountain Basins Big Sagebrush Shrubland,Shrub,604,Big Sagebrush Shrubland and Steppe,Shrubland
2081,Sh Inter-Mountain Basins Mixed Salt Desert Scrub,311,Saltbrush shrubland,,2081,Sh Inter-Mountain Basins Mixed Salt Desert Scrub,Shrub,636,Salt Desert Scrub,Shrubland
2082,Sh Mojave Mid-Elevation Mixed Desert Scrub,309,Blackbrush shrubland,,2082,Sh Mojave Mid-Elevation Mixed Desert Scrub,Shrub,613,Desert Scrub,Shrubland
2083,Sh North Pacific Avalanche Chute Shrubland,319,Pacific silver fir-Sitka alder forest,,2083,Sh North Pacific Avalanche Chute Shrubland,Shrub,612,Deciduous Shrubland,Shrubland
2084,Sh North Pacific Montane Shrubland,237,Huckleberry-heather shrubland,,2084,Sh North Pacific Montane Shrubland,Shrub,612,Deciduous Shrubland,Shrubland
2085,Sh Northwestern Great Plains Shrubland,308,Low sagebrush shrubland,,2085,Sh Northwestern Great Plains Shrubland,Shrub,604,Big Sagebrush Shrubland and Steppe,Shrubland
2086,Sh Rocky Mountain Lower Montane-Foothill Shrubland,313,Mountain mahogany shrubland,,2086,Sh Rocky Mountain Lower Montane-Foothill Shrubland,Shrub,612,Deciduous Shrubland,Shrubland
2087,Sh Sonora-Mojave Creosotebush-White Bursage Desert Scrub,49,Creosote bush shrubland,,2087,Sh Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrub,611,Creosotebush Desert Scrub,Shrubland
2088,Sh Sonora-Mojave Mixed Salt Desert Scrub,311,Saltbrush shrubland,,2088,Sh Sonora-Mojave Mixed Salt Desert Scrub,Shrub,636,Salt Desert Scrub,Shrubland
2090,Sh Sonoran Granite Outcrop Desert Scrub,307,Paloverde shrubland,,2090,Sh Sonoran Granite Outcrop Desert Scrub,Shrub,613,Desert Scrub,Shrubland
2091,Sh Sonoran Mid-Elevation Desert Scrub,307,Paloverde shrubland,,2091,Sh Sonoran Mid-Elevation Desert Scrub,Shrub,613,Desert Scrub,Shrubland
2092,Sh Southern California Coastal Scrub,51,Coastal sage shrubland,,2092,Sh Southern California Coastal Scrub,Shrub,609,Pacific Coastal Scrub,Shrubland
2093,Sh Southern Colorado Plateau Sand Shrubland,236,Tobosa-grama grassland,,2093,Sh Southern Colorado Plateau Sand Shrubland,Shrub,637,Sand Shrubland,Shrubland
2094,Sh Western Great Plains Sandhill Steppe,352,Honey mesquite-fourwing saltbush shrubland,,2094,Sh Western Great Plains Sandhill Steppe,Herb,637,Sand Shrubland,Shrubland
2094,Sh Western Great Plains Sandhill Steppe,352,Honey mesquite-fourwing saltbush shrubland,,2094,Sh Western Great Plains Sandhill Steppe,Shrub,637,Sand Shrubland,Shrubland
2095,Sh Apacherian-Chihuahuan Mesquite Upland Scrub,236,Tobosa-grama grassland,,2095,Sh Apacherian-Chihuahuan Mesquite Upland Scrub,Shrub,624,Mesquite Woodland and Scrub,Shrubland
2096,Sh California Maritime Chaparral,51,Coastal sage shrubland,,2096,Sh California Maritime Chaparral,Shrub,607,Chaparral,Shrubland
2097,Sh California Mesic Chaparral,46,Chamise chaparral shrubland,,2097,Sh California Mesic Chaparral,Shrub,607,Chaparral,Shrubland
2098,Sh California Montane Woodland and Chaparral,237,Huckleberry-heather shrubland,,2098,Sh California Montane Woodland and Chaparral,Shrub,607,Chaparral,Shrubland
2099,Sh California Xeric Serpentine Chaparral,237,Huckleberry-heather shrubland,,2099,Sh California Xeric Serpentine Chaparral,Shrub,607,Chaparral,Shrubland
2100,Sh Chihuahuan Mixed Desert and Thornscrub,49,Creosote bush shrubland,,2100,Sh Chihuahuan Mixed Desert and Thornscrub,Shrub,613,Desert Scrub,Shrubland
2101,Sh Madrean Oriental Chaparral,44,Scrub oak chaparral shrubland,,2101,Sh Madrean Oriental Chaparral,Shrub,607,Chaparral,Shrubland
2103,Sh Great Basin Semi-Desert Chaparral,237,Huckleberry-heather shrubland,,2103,Sh Great Basin Semi-Desert Chaparral,Shrub,607,Chaparral,Shrubland
2104,Sh Mogollon Chaparral,30,Turbinella oak-alderleaf mountain mahogany shrubland,,2104,Sh Mogollon Chaparral,Shrub,607,Chaparral,Shrubland
2105,Sh Northern and Central California Dry-Mesic Chaparral,44,Scrub oak chaparral shrubland,,2105,Sh Northern and Central California Dry-Mesic Chaparral,Shrub,607,Chaparral,Shrubland
2106,Sh Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,305,Red alder forest,,2106,Sh Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrub,612,Deciduous Shrubland,Shrubland
2107,Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,218,Gambel oak/big sagebrush shrubland,,2107,Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,612,Deciduous Shrubland,Shrubland
2108,Sh Sonora-Mojave Semi-Desert Chaparral,237,Huckleberry-heather shrubland,,2108,Sh Sonora-Mojave Semi-Desert Chaparral,Shrub,607,Chaparral,Shrubland
2109,Sh Sonoran Paloverde-Mixed Cacti Desert Scrub,307,Paloverde shrubland,,2109,Sh Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrub,613,Desert Scrub,Shrubland
2110,Sh Southern California Dry-Mesic Chaparral,44,Scrub oak chaparral shrubland,,2110,Sh Southern California Dry-Mesic Chaparral,Shrub,607,Chaparral,Shrubland
2111,Tr Western Great Plains Mesquite Woodland and Shrubland,232,Mesquite savanna,,2111,Tr Western Great Plains Mesquite Woodland and Shrubland,Shrub,624,Mesquite Woodland and Scrub,Shrubland
2112,Tr California Central Valley Mixed Oak Savanna,36,California live oak-blue oak woodland,,2112,Tr California Central Valley Mixed Oak Savanna,Tree,629,Western Oak Woodland and Savanna,Hardwood
