EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2644,Tr Alaskan Pacific Maritime Sitka Spruce Forest,322,Sitka spruce-western hemlock forest,,2644,Tr Alaskan Pacific Maritime Sitka Spruce Forest,Tree,638,Sitka Spruce Forest,Conifer
2645,He Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,339,Nootka lupine-sedge grassland,,2645,He Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,Herb,767,Herbaceous Meadow,Grassland
2646,Tr Alaskan Pacific Maritime Western Hemlock Forest,322,Sitka spruce-western hemlock forest,,2646,Tr Alaskan Pacific Maritime Western Hemlock Forest,Tree,782,Western Hemlock-Yellow-cedar Forest,Conifer
2648,Tr Alaskan Pacific Maritime Mountain Hemlock Forest,325,White spruce-mountain hemlock forest,,2648,Tr Alaskan Pacific Maritime Mountain Hemlock Forest,Tree,627,Mountain Hemlock Forest and Woodland,Conifer
2649,Tr Alaskan Pacific Maritime Subalpine Mountain Hemlock Woodland,329,Mountain heath tundra shrubland,,2649,Tr Alaskan Pacific Maritime Subalpine Mountain Hemlock Woodland,Tree,627,Mountain Hemlock Forest and Woodland,Conifer
2650,Tr Alaskan Pacific Maritime Periglacial Woodland and Shrubland,332,Balsam poplar-paper birch forest,,2650,Tr Alaskan Pacific Maritime Periglacial Woodland and Shrubland,Tree,769,Periglacial Woodland and Shrubland,Shrubland
2650,Tr Alaskan Pacific Maritime Periglacial Woodland and Shrubland,332,Balsam poplar-paper birch forest,,2650,Tr Alaskan Pacific Maritime Periglacial Woodland and Shrubland,Shrub,769,Periglacial Woodland and Shrubland,Shrubland
2651,He Aleutian Mesic Herbaceous Meadow,99,Bluejoint reedgrass grassland,,2651,He Aleutian Mesic Herbaceous Meadow,Herb,767,Herbaceous Meadow,Grassland
2652,Sh Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,331,Sitka alder-salmonberry shrubland,,2652,Sh Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,Shrub,750,Alder Shrubland,Shrubland
2653,He Alaskan Pacific Maritime Mesic Herbaceous Meadow,99,Bluejoint reedgrass grassland,,2653,He Alaskan Pacific Maritime Mesic Herbaceous Meadow,Herb,767,Herbaceous Meadow,Grassland
2654,Tr Alaskan Pacific Maritime Sitka Spruce Beach Ridge,322,Sitka spruce-western hemlock forest,,2654,Tr Alaskan Pacific Maritime Sitka Spruce Beach Ridge,Tree,638,Sitka Spruce Forest,Conifer
2671,He Aleutian American Dunegrass Grassland,330,American dunegrass grassland,,2671,He Aleutian American Dunegrass Grassland,Herb,761,Dune Grassland,Grassland
2672,Sh Alaskan Pacific Maritime Subalpine Copperbush Shrubland,237,Huckleberry-heather shrubland,,2672,Sh Alaskan Pacific Maritime Subalpine Copperbush Shrubland,Shrub,750,Alder Shrubland,Shrubland
2674,Sps Alaskan Pacific Maritime Alpine Sparse Shrub and Fell-field,0,Urban-Barren,,2674,Sps Alaskan Pacific Maritime Alpine Sparse Shrub and Fell-field,Sparse,776,Sparse Shrub and Fell-field,Shrubland
2677,Tr Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,101,White spruce forest,,2677,Tr Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,Tree,784,White Spruce Forest and Woodland,Conifer
2678,Tr Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,325,White spruce-mountain hemlock forest,,2678,Tr Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,Tree,784,White Spruce Forest and Woodland,Conifer
2679,Tr Alaska Sub-boreal White Spruce-Hardwood Forest,103,White spruce-paper birch forest,,2679,Tr Alaska Sub-boreal White Spruce-Hardwood Forest,Tree,785,White Spruce-Hardwood Forest and Woodland,Conifer-Hardwood
2680,Sh Alaskan Pacific Maritime Avalanche Slope Shrubland,95,Willow-mountain alder shrubland,,2680,Sh Alaskan Pacific Maritime Avalanche Slope Shrubland,Shrub,752,Avalanche Slope Shrubland,Shrubland
2682,Sh Alaska Arctic Scrub Birch-Ericaceous Shrubland,326,Willow-birch shrubland,,2682,Sh Alaska Arctic Scrub Birch-Ericaceous Shrubland,Shrub,762,Dwarf Shrubland,Shrubland
2683,Sh Alaska Arctic Mesic Sedge-Willow Tundra,338,Water sedge-tall cottongrass grassland,,2683,Sh Alaska Arctic Mesic Sedge-Willow Tundra,Shrub,775,Shrub Tundra,Shrubland
2684,Sh Alaska Arctic Mesic Sedge-Dryas Tundra,333,Dryas tundra shrubland,,2684,Sh Alaska Arctic Mesic Sedge-Dryas Tundra,Shrub,775,Shrub Tundra,Shrubland
2685,Sps Alaska Arctic Acidic Sparse Tundra,0,Urban-Barren,,2685,Sps Alaska Arctic Acidic Sparse Tundra,Sparse,777,Sparse Tundra,Shrubland
2686,Sps Alaska Arctic Non-Acidic Sparse Tundra,0,Urban-Barren,,2686,Sps Alaska Arctic Non-Acidic Sparse Tundra,Sparse,777,Sparse Tundra,Shrubland
2687,Sh Alaska Arctic Lichen Tundra,0,Urban-Barren,,2687,Sh Alaska Arctic Lichen Tundra,Shrub,775,Shrub Tundra,Shrubland
2688,Sh Alaska Arctic Acidic Dryas Dwarf-Shrubland,333,Dryas tundra shrubland,,2688,Sh Alaska Arctic Acidic Dryas Dwarf-Shrubland,Shrub,762,Dwarf Shrubland,Shrubland
2689,Sh Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland,333,Dryas tundra shrubland,,2689,Sh Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland,Shrub,762,Dwarf Shrubland,Shrubland
2690,Sh Alaska Arctic Dwarf-Shrubland,334,Mountain heather tundra shrubland,,2690,Sh Alaska Arctic Dwarf-Shrubland,Shrub,762,Dwarf Shrubland,Shrubland
2691,Sh Alaska Arctic Acidic Dwarf-Shrub Lichen Tundra,333,Dryas tundra shrubland,,2691,Sh Alaska Arctic Acidic Dwarf-Shrub Lichen Tundra,Shrub,775,Shrub Tundra,Shrubland
2692,Sh Alaska Arctic Non-Acidic Dwarf-Shrub Lichen Tundra,333,Dryas tundra shrubland,,2692,Sh Alaska Arctic Non-Acidic Dwarf-Shrub Lichen Tundra,Shrub,775,Shrub Tundra,Shrubland
2699,He Alaska Arctic Mesic Herbaceous Meadow,339,Nootka lupine-sedge grassland,,2699,He Alaska Arctic Mesic Herbaceous Meadow,Herb,767,Herbaceous Meadow,Grassland
2709,He Alaska Arctic Marine Beach and Beach Meadow,330,American dunegrass grassland,,2709,He Alaska Arctic Marine Beach and Beach Meadow,Herb,754,Beach Meadow,Grassland
2718,Sh Aleutian Mesic Alder-Salmonberry Shrubland,331,Sitka alder-salmonberry shrubland,,2718,Sh Aleutian Mesic Alder-Salmonberry Shrubland,Shrub,750,Alder Shrubland,Shrubland
2719,Sh Aleutian Crowberry-Herbaceous Heath,329,Mountain heath tundra shrubland,,2719,Sh Aleutian Crowberry-Herbaceous Heath,Shrub,762,Dwarf Shrubland,Shrubland
2720,Sh Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland,334,Mountain heather tundra shrubland,,2720,Sh Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland,Shrub,762,Dwarf Shrubland,Shrubland
2725,He Aleutian Marine Beach and Beach Meadow,330,American dunegrass grassland,,2725,He Aleutian Marine Beach and Beach Meadow,Herb,754,Beach Meadow,Grassland
2730,Sps Aleutian Sparse Heath and Fell-Field,0,Urban-Barren,,2730,Sps Aleutian Sparse Heath and Fell-Field,Sparse,776,Sparse Shrub and Fell-field,Shrubland
2731,Sh Aleutian Oval-leaf Blueberry Shrubland,329,Mountain heath tundra shrubland,,2731,Sh Aleutian Oval-leaf Blueberry Shrubland,Shrub,786,Willow Shrubland,Shrubland
2740,He Boreal Aquatic Beds,336,Lyngbye's sedge-alkaligrass grassland,,2740,He Boreal Aquatic Beds,Herb,764,Freshwater Aquatic Bed,Riparian
2741,He Polar Tidal Marshes and Aquatic Beds,336,Lyngbye's sedge-alkaligrass grassland,,2741,He Polar Tidal Marshes and Aquatic Beds,Herb,780,Tidal Marsh,Riparian
2742,"He Temperate Pacific Tidal Marshes, Aquatic Beds, and Intertidal Flats",336,Lyngbye's sedge-alkaligrass grassland,,2742,"He Temperate Pacific Tidal Marshes, Aquatic Beds, and Intertidal Flats",Herb,779,Tidal Flat,Riparian
2743,He Aleutian Herbaceous Wetlands,338,Water sedge-tall cottongrass grassland,,2743,He Aleutian Herbaceous Wetlands,Herb,765,Freshwater Marsh,Riparian
2743,He Aleutian Herbaceous Wetlands,338,Water sedge-tall cottongrass grassland,,2743,He Aleutian Herbaceous Wetlands,Shrub,765,Freshwater Marsh,Riparian
2744,He Arctic Herbaceous Wetlands,338,Water sedge-tall cottongrass grassland,,2744,He Arctic Herbaceous Wetlands,Herb,765,Freshwater Marsh,Riparian
2745,He Boreal Herbaceous Wetlands,338,Water sedge-tall cottongrass grassland,,2745,He Boreal Herbaceous Wetlands,Herb,783,Wet Meadow,Riparian
2746,He Pacific Maritime Herbaceous Wetlands,318,Bluejoint reedgrass-water sedge grassland,,2746,He Pacific Maritime Herbaceous Wetlands,Herb,765,Freshwater Marsh,Riparian
2747,Sh Arctic Sedge Meadows,338,Water sedge-tall cottongrass grassland,,2747,Sh Arctic Sedge Meadows,Shrub,783,Wet Meadow,Riparian
2749,He Pacific Maritime Coastal Meadows and Slough-Levee,330,American dunegrass grassland,,2749,He Pacific Maritime Coastal Meadows and Slough-Levee,Herb,754,Beach Meadow,Grassland
2750,Tr Alaska Sub-boreal White Spruce-Hardwood Forest,103,White spruce-paper birch forest,,2750,Tr Alaska Sub-boreal White Spruce-Hardwood Forest,Tree,785,White Spruce-Hardwood Forest and Woodland,Conifer-Hardwood
2751,Tr Boreal Coniferous Woody Wetland,88,Black spruce/sphagnum moss forest,,2751,Tr Boreal Coniferous Woody Wetland,Tree,683,Peatland Forests,Conifer
2752,Tr Pacific Maritime Coniferous Woody Wetland,355,Hemlock-Alaska cedar/blueberry forest,,2752,Tr Pacific Maritime Coniferous Woody Wetland,Tree,683,Peatland Forests,Conifer
2753,Tr Boreal Coniferous-Deciduous Woody Wetland,356,Black spruce-tamarack/sphagnum moss forest,,2753,Tr Boreal Coniferous-Deciduous Woody Wetland,Tree,758,Black Spruce Forest and Woodland,Conifer
2756,Sh Arctic Dwarf Shrub Wetland,98,Marsh labrador tea-lingonberry tundra shrubland,,2756,Sh Arctic Dwarf Shrub Wetland,Shrub,762,Dwarf Shrubland,Shrubland
2757,Sh Boreal Dwarf Shrub Wetland,98,Marsh labrador tea-lingonberry tundra shrubland,,2757,Sh Boreal Dwarf Shrub Wetland,Shrub,762,Dwarf Shrubland,Shrubland
2758,Sh Pacific Maritime Dwarf Shrub Wetland,340,Sweetgale-bog blueberry shrubland,,2758,Sh Pacific Maritime Dwarf Shrub Wetland,Shrub,762,Dwarf Shrubland,Shrubland
2761,Tr Aleutian Floodplains,357,Balsam poplar-black cottonwood forest,,2761,Tr Aleutian Floodplains,Shrub,772,Shrub and Herbaceous Floodplain Wetland,Riparian
2761,Tr Aleutian Floodplains,357,Balsam poplar-black cottonwood forest,,2761,Tr Aleutian Floodplains,Tree,772,Shrub and Herbaceous Floodplain Wetland,Riparian
2762,Sh Arctic Floodplains,95,Willow-mountain alder shrubland,,2762,Sh Arctic Floodplains,Shrub,763,Floodplain Forest and Shrubland,Hardwood
2763,Tr Boreal Floodplains,350,Balsam poplar-white spruce forest,,2763,Tr Boreal Floodplains,Tree,763,Floodplain Forest and Shrubland,Hardwood
2763,Tr Boreal Floodplains,350,Balsam poplar-white spruce forest,,2763,Tr Boreal Floodplains,Herb,763,Floodplain Forest and Shrubland,Hardwood
2763,Tr Boreal Floodplains,350,Balsam poplar-white spruce forest,,2763,Tr Boreal Floodplains,Shrub,763,Floodplain Forest and Shrubland,Hardwood
2764,Tr Pacific Maritime Floodplains,332,Balsam poplar-paper birch forest,,2764,Tr Pacific Maritime Floodplains,Tree,763,Floodplain Forest and Shrubland,Hardwood
2764,Tr Pacific Maritime Floodplains,332,Balsam poplar-paper birch forest,,2764,Tr Pacific Maritime Floodplains,Shrub,763,Floodplain Forest and Shrubland,Hardwood
2771,Sh Aleutian Peatlands,351,Bog blueberry-lingonberry shrubland,,2771,Sh Aleutian Peatlands,Shrub,773,Shrub and Herbaceous Peatlands,Riparian
2771,Sh Aleutian Peatlands,351,Bog blueberry-lingonberry shrubland,,2771,Sh Aleutian Peatlands,Herb,773,Shrub and Herbaceous Peatlands,Riparian
2772,Sh Arctic Peatlands,351,Bog blueberry-lingonberry shrubland,,2772,Sh Arctic Peatlands,Shrub,773,Shrub and Herbaceous Peatlands,Riparian
2772,Sh Arctic Peatlands,351,Bog blueberry-lingonberry shrubland,,2772,Sh Arctic Peatlands,Herb,773,Shrub and Herbaceous Peatlands,Riparian
2773,Sh Boreal Peatlands,351,Bog blueberry-lingonberry shrubland,,2773,Sh Boreal Peatlands,Shrub,773,Shrub and Herbaceous Peatlands,Riparian
2774,Tr Pacific Maritime Peatlands,327,Marsh Labrador tea/cottongrass grassland,,2774,Tr Pacific Maritime Peatlands,Tree,683,Peatland Forests,Conifer
2774,Tr Pacific Maritime Peatlands,327,Marsh Labrador tea/cottongrass grassland,,2774,Tr Pacific Maritime Peatlands,Shrub,683,Peatland Forests,Conifer
2776,Tr Boreal Riparian Stringer Forest and Shrubland,324,White spruce woodland,,2776,Tr Boreal Riparian Stringer Forest and Shrubland,Tree,770,Riparian Stringer Forest and Shrubland,Riparian
2777,Sh Boreal Shrub Swamp,358,Alder-willow shrubland,,2777,Sh Boreal Shrub Swamp,Shrub,774,Shrub Swamp,Shrubland
2778,Sh Pacific Maritime Shrub Swamp,358,Alder-willow shrubland,,2778,Sh Pacific Maritime Shrub Swamp,Shrub,774,Shrub Swamp,Shrubland
2779,Tr Alaska Boreal Hardwood Forest,92,Quaking aspen-paper birch-white spruce-black spruce forest,,2779,Tr Alaska Boreal Hardwood Forest,Tree,785,White Spruce-Hardwood Forest and Woodland,Conifer-Hardwood
2780,Tr Alaska Boreal White Spruce-Hardwood Forest,103,White spruce-paper birch forest,,2780,Tr Alaska Boreal White Spruce-Hardwood Forest,Tree,785,White Spruce-Hardwood Forest and Woodland,Conifer-Hardwood
2781,Sh Arctic Sedge-Tussock-Lichen Tundra,359,Sedge-lichen tussock tundra shrubland,,2781,Sh Arctic Sedge-Tussock-Lichen Tundra,Shrub,777,Sparse Tundra,Shrubland
2781,Sh Arctic Sedge-Tussock-Lichen Tundra,359,Sedge-lichen tussock tundra shrubland,,2781,Sh Arctic Sedge-Tussock-Lichen Tundra,Herb,777,Sparse Tundra,Shrubland
2782,He Boreal Tussock Tundra,327,Marsh Labrador tea/cottongrass grassland,,2782,He Boreal Tussock Tundra,Herb,781,Tussock Tundra,Shrubland
2783,Sh Arctic Tussock Tundra,341,Marsh Labrador tea/Bigelow sedge tundra shrubland,,2783,Sh Arctic Tussock Tundra,Shrub,781,Tussock Tundra,Shrubland
2783,Sh Arctic Tussock Tundra,341,Marsh Labrador tea/Bigelow sedge tundra shrubland,,2783,Sh Arctic Tussock Tundra,Herb,781,Tussock Tundra,Shrubland
2784,Sh Arctic Shrub-Tussock Tundra,98,Marsh labrador tea-lingonberry tundra shrubland,,2784,Sh Arctic Shrub-Tussock Tundra,Shrub,781,Tussock Tundra,Shrubland
2785,Sh Arctic Shrub Tundra,333,Dryas tundra shrubland,,2785,Sh Arctic Shrub Tundra,Shrub,775,Shrub Tundra,Shrubland
2786,Tr Boreal Shrub-Tussock Tundra and Woodland,89,Black spruce/cottonsedge woodland,,2786,Tr Boreal Shrub-Tussock Tundra and Woodland,Tree,758,Black Spruce Forest and Woodland,Conifer
2786,Tr Boreal Shrub-Tussock Tundra and Woodland,89,Black spruce/cottonsedge woodland,,2786,Tr Boreal Shrub-Tussock Tundra and Woodland,Shrub,758,Black Spruce Forest and Woodland,Conifer
2789,Tr Alaska Sub-boreal White Spruce-Hardwood Forest,105,Paper birch-quaking aspen-white spruce forest,,2789,Tr Alaska Sub-boreal White Spruce-Hardwood Forest,Tree,785,White Spruce-Hardwood Forest and Woodland,Conifer-Hardwood
2791,Sps Aleutian Sparsely Vegetated,0,Urban-Barren,,2791,Sps Aleutian Sparsely Vegetated,Sparse,755,"Bedrock, Scree, and Talus",Non-vegetated
2792,Sps Arctic Sparsely Vegetated,0,Urban-Barren,,2792,Sps Arctic Sparsely Vegetated,Sparse,755,"Bedrock, Scree, and Talus",Non-vegetated
2793,Sps Boreal Sparsely Vegetated,0,Urban-Barren,,2793,Sps Boreal Sparsely Vegetated,Sparse,755,"Bedrock, Scree, and Talus",Non-vegetated
2794,Sps Pacific Maritime Sparsely Vegetated,0,Urban-Barren,,2794,Sps Pacific Maritime Sparsely Vegetated,Sparse,755,"Bedrock, Scree, and Talus",Non-vegetated
2806,He Hawai'i Bog,342,Dubautia/sedge bog shrubland,,,,,,,
2808,Tr Hawai'i Lowland Rainforest,72,Ohia/uluhe forest,,,,,,,
2809,Tr Hawai'i Montane Cloud Forest,73,Koa/pukiawe forest,,,,,,,
2810,Tr Hawai'i Montane Rainforest,73,Koa/pukiawe forest,,,,,,,
2811,Sh Hawai'i Wet Cliff and Ridge Crest Shrubland,343,Ohia/Ohelo 'ai shrubland,,,,,,,
2813,Tr Hawai'i Lowland Dry Forest,71,Ohia/Florida hopbush-kupaoa forest,,,,,,,
2814,Tr Hawai'i Lowland Mesic Forest,72,Ohia/uluhe forest,,,,,,,
2815,Tr Hawai'i Montane-Subalpine Dry Forest and Woodland,74,Mamani-naio savanna,,,,,,,
2816,Tr Hawai'i Montane-Subalpine Mesic Forest,72,Ohia/uluhe forest,,,,,,,
2817,Sh Hawai'i Lowland Dry Shrubland,78,Florida hopbush-Mauna Loa beggarticks shrubland,,,,,,,
2818,Sh Hawai'i Lowland Mesic Shrubland,78,Florida hopbush-Mauna Loa beggarticks shrubland,,,,,,,
2819,He Hawai'i Lowland Dry Grassland,79,Pili grass-broomsedge bluestem grassland,,,,,,,
2820,He Hawai'i Lowland Mesic Grassland,81,Pukiawe/Columbia bluestem grassland,,,,,,,
2821,Sh Hawai'i Montane-Subalpine Dry Shrubland,78,Florida hopbush-Mauna Loa beggarticks shrubland,,,,,,,
2822,He Hawai'i Montane-Subalpine Dry Grassland,344,Hardstem lovegrass grassland,,,,,,,
2823,He Hawai'i Montane-Subalpine Mesic Grassland,345,Alpine hairgrass-decomposition brackenfern grassland,,,,,,,
2824,Sh Hawai'i Alpine Dwarf-Shrubland,346,Mountain dubautia-silversword shrubland,,,,,,,
2825,Sh Hawai'i Dry Cliff,347,Wormwood-Mauna loa beggarticks shrubland,,,,,,,
2826,Sh Hawai'i Dry Coastal Strand,348,Yellow ilima/hurricanegrass shrubland,,,,,,,
2827,Sh Hawai'i Wet-Mesic Coastal Strand,348,Yellow ilima/hurricanegrass shrubland,,,,,,,
2828,Sh Hawai'i Subalpine Mesic Shrubland,349,Ohelu kau la'au-silversword shrubland,,,,,,,
2845,Tr Hawai'i Introduced Dry Forest,76, Slash pine/molasses grass forest,,,,,,,
2847,Sh Hawai'i Introduced Deciduous Shrubland,82,White leadtree/Guinea grass shrubland,,,,,,,
2848,He Hawai'i Introduced Perennial Grassland,81,Pukiawe/Columbia bluestem grassland,,,,,,,
2853,Sh Hawai'i Introduced Coastal Wetland Vegetation - Shrub,82,White leadtree/Guinea grass shrubland,,,,,,,
2854,He Hawai'i Introduced Coastal Wetland Vegetation - Herbaceous,81,Pukiawe/Columbia bluestem grassland,,,,,,,
2855,Tr Hawai'i Managed Tree Plantation,75,Slash pine/New Caledonia pine forest,,,,,,,
2860,Bau Caribbean High-medium density urban,0,Urban-Barren,,,,,,,
2861,Bau Caribbean Low-medium density urban,0,Urban-Barren,,,,,,,
2902,Bau Developed-Low Intensity,0,Urban-Barren,,2902,Bau Developed-Low Intensity,Developed,22,Developed-Low Intensity,Developed-Low Intensity
2903,Bau Developed-Medium Intensity,0,Urban-Barren,,2903,Bau Developed-Medium Intensity,Developed,23,Developed-Medium Intensity,Developed-Medium Intensity
2904,Bau Developed-High Intensity,0,Urban-Barren,,2904,Bau Developed-High Intensity,Developed,24,Developed-High Intensity,Developed-High Intensity
2905,Bau Developed-Roads,0,Urban-Barren,,2905,Bau Developed-Roads,Developed,25,Developed-Roads,Developed-Roads
2913,Dtd Urban Deciduous Forest,283,Willow-laurel-water oak forest (ECT),,2913,Dtd Urban Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2913,Dtd Urban Deciduous Forest,283,Willow-laurel-water oak forest (EWT),,2913,Dtd Urban Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2913,Dtd Urban Deciduous Forest,319,Pacific silver fir-Sitka alder forest (WCT),,2913,Dtd Urban Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2913,Dtd Urban Deciduous Forest,426,Sugarberry/acacia forest (WWT),,2913,Dtd Urban Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2914,Dtc Urban Evergreen Forest,22,Mature lodgepole pine forest,,2914,Dtc Urban Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2914,Dtc Urban Evergreen Forest,32,Ponderosa pine-pinyon pine-Utah juniper forest (WWT),,2914,Dtc Urban Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2914,Dtc Urban Evergreen Forest,196,Loblolly pine/bluestem forest (EWT),,2914,Dtc Urban Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2914,Dtc Urban Evergreen Forest,427,Red spruce-northern white cedar-tamarack forest (ECT),,2914,Dtc Urban Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2915,Dtm Urban Mixed Deciduous-Evergreen Forest,409,Virginia pine-chestnut oak/little bluestem forest (EWT),,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2916,Dgr Urban Herbaceous,213,Wheatgrass-cheatgrass grassland - post prescribed burn (WCT),,2916,Dgr Urban Herbaceous,Herb,16,Developed-Upland Herbaceous,Developed
2917,Dsh Urban Shrubland,60,Sagebrush shrubland - post prescribed burn  (WCT),,2917,Dsh Urban Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2917,Dsh Urban Shrubland,115,Rhododendron-blueberry-mountain laurel shrubland (ECT),,2917,Dsh Urban Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2917,Dsh Urban Shrubland,310,Greasewood shrubland (WWT),,2917,Dsh Urban Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2917,Dsh Urban Shrubland,401,Holly-privet shrubland (EWT),,2917,Dsh Urban Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2923,Dtd Developed Ruderal Deciduous Forest,43,Arizona white-gray-Emory oak woodland,,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2923,Dtd Developed Ruderal Deciduous Forest,110,American beech-yellow birch-sugar maple forest (ECT),,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2923,Dtd Developed Ruderal Deciduous Forest,180,Red maple-oak-hickory-sweetgum forest (EWT),,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2923,Dtd Developed Ruderal Deciduous Forest,317,Bigtooth maple forest (WCT),,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2924,Dtc Developed Ruderal Evergreen Forest,67,Interior ponderosa pine-Douglas-fir forest (WCT),,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2924,Dtc Developed Ruderal Evergreen Forest,286,Limber pine-ponderosa pine forest (WCT),,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2924,Dtc Developed Ruderal Evergreen Forest,114,Virginia pine-pitch pine-shortleaf pine forest (EWT),,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2924,Dtc Developed Ruderal Evergreen Forest,222,Interior ponderosa pine forest (WWT),,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,143,Quaking aspen-paper birch-white spruce-balsam fir forest (ECT),,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,185,Longleaf pine/turkey oak forest 1-2 yr postfire (EWT),,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,157,Loblolly-shortleaf pine-mixed hardwood forest (EWT),,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,219,Ponderosa pine-white fir/quaking aspen forest (WCT),,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,216,Gambel oak-bigtooth maple forest (WCT),,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,219,Ponderosa pine-white fir/quaking aspen forest (WWT),,2925,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2926,Dsh Developed Ruderal Shrubland,115,Rhododendron-blueberry-mountain laurel shrubland (ECT),,2926,Dsh Developed Ruderal Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2926,Dsh Developed Ruderal Shrubland,233,Sagebrush shrubland - fire exclusion (WCT),,2926,Dsh Developed Ruderal Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2927,Dgr Developed Ruderal Grassland,66,Bluebunch wheatgrass-bluegrass grassland (ECT),,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed-Upland Herbaceous,Developed
2927,Dgr Developed Ruderal Grassland,66,Bluebunch wheatgrass-bluegrass grassland (EWT),,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed-Upland Herbaceous,Developed
2927,Dgr Developed Ruderal Grassland,213,Wheatgrass-cheatgrass grassland - post prescribed burn (WCT),,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed-Upland Herbaceous,Developed
2927,Dgr Developed Ruderal Grassland,66,Bluebunch wheatgrass-bluegrass grassland (WCT),,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed-Upland Herbaceous,Developed
2933,Dtd Undeveloped Ruderal Deciduous Forest,43,Arizona white-gray-Emory oak woodland (WWT),,2933,Dtd Undeveloped Ruderal Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2933,Dtd Undeveloped Ruderal Deciduous Forest,225,Quaking aspen forest - post prescribed burn (WWT),,2933,Dtd Undeveloped Ruderal Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2933,Dtd Undeveloped Ruderal Deciduous Forest,110,American beech-yellow birch-sugar maple forest (ECT),,2933,Dtd Undeveloped Ruderal Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
2933,Dtd Undeveloped Ruderal Deciduous Forest,180,Red maple-oak-hickory-sweetgum forest (EWT),,2933,Dtd Undeveloped Ruderal Deciduous Forest,Tree,13,Developed-Upland Deciduous Forest,Developed
